Session ID,Date,Customer Name,Customer Email,Status,CEO Participated,Last Customer Question,Last CEO Response,Full Transcript
session_e1a10faa-d349-45e5-b30b-5f5fab94b16a,2026-01-15 17:00:51,visitor105832,,Pending/Open,Yes,Καλησπερα,Καλησπερα σας,"[Customer]: Καλησπερα
[CEO (Costo)]: Καλησπερα σας"
session_dfbc10dc-3fc4-4f97-9641-845617334951,2026-01-13 14:59:42,visitor105628,,Pending/Open,Yes,οκ ευχαριστώ,"Καλησπερα. Ειναι το ""each""","[Customer]: καλησπέρα δεν βρίσκω το τεμάχιο στις μονάδες μετρήσεις
[CEO (Costo)]: Καλησπερα. Ειναι το ""each""
[Customer]: οκ ευχαριστώ"
session_9582514d-c80d-471a-9e86-4c05ad9e15f8,2026-01-12 20:54:33,visitor105568,,Pending/Open,Yes,testing fouk,Iao,"[Customer]: testing fouk
[CEO (Costo)]: Iao"
session_20902d85-29fc-428a-beaa-a3935146e0cd,2026-01-11 22:55:56,visitor105502,,Pending/Open,Yes,Να είστε καλά καλή χρονιά και δημιουργική με υγεία,Καλη συνεχεια,"[Customer]: υπάρχει θέμα με την κοστολόγηση π.χ. 250g ποσότητα χ 0,02 /g βγάζει 9,09 ενώ είναι 5,00
[CEO (Costo)]: Μηπως εχετε χρησιμοποιήσει φύρα;
[CEO (Costo)]: Θα θελατε να μας πειτε ποσο εχετε δηλωσει οτι κοστιζει το υλικο. Πχ 3Ε ανα κιλο με 20% φυρα
[CEO (Costo)]: Παρακαλούμε καλεστε μας αυριο Δευτερα. Για να δούμε μαζι τις ερωτησεις σας. Ευχαριστουμε
[Customer]: οκ το κατάλαβα ήταν η φύρα ευχαριστώ
[CEO (Costo)]: Καλη συνεχεια
[Customer]: Να είστε καλά καλή χρονιά και δημιουργική με υγεία"
session_eb49f918-bcc1-4ddd-af88-97dd62ed5073,2026-01-10 19:05:17,visitor105480,,Pending/Open,Yes,Θέλω να γράψω το κόστος αλα δεν με αφήνει,Αν ειναι η πρωτη σας συνταγη σωστε και ξαναανοιξτε την να κανει redresh,"[Customer]: Θέλω να γράψω το κόστος αλα δεν με αφήνει
[CEO (Costo)]: Αν ειναι η πρωτη σας συνταγη σωστε και ξαναανοιξτε την να κανει redresh"
session_7c97a104-2a90-43e1-9080-5de0467218cc,2026-01-06 17:06:27,visitor105287,,Pending/Open,Yes,τελεία! Αυτό ήταν σας ευχαριστώ πολύ. Καλή συνέχεια!,Καλησπερα σας. Πρεπει να εχετε λαβει email ενεργοποιησης (activation mail). Δειτε επισης στα ανεπιθυμητα,"[Customer]: καλησπέρα, μόλις έφτιαξα τον λογαριασμό μου και δεν με αφήνει να συνδεθώ λέει ότι ο κωδικός ή το email είναι λάθος. Άλλαξα 3 φορές τον κωδικό και πάλι μου λέει ότι είναι λάθος...
[CEO (Costo)]: Καλησπερα σας. Πρεπει να εχετε λαβει email ενεργοποιησης (activation mail). Δειτε επισης στα ανεπιθυμητα
[Customer]: τελεία! Αυτό ήταν σας ευχαριστώ πολύ. Καλή συνέχεια!"
session_437586c9-fc1b-4599-b38f-ba68f923f7a2,2025-12-20 16:12:29,visitor104745,,Pending/Open,Yes,ειστε μεσα να επικοινωνησω,Καλησπερα σας. Whatsapp 6973286811,"[Customer]: ειστε μεσα να επικοινωνησω
[CEO (Costo)]: Καλησπερα σας. Whatsapp 6973286811"
session_b813aada-99a0-4e0e-98ae-b1c34670ad71,2025-12-10 12:50:49,visitor104250,,Pending/Open,Yes,καλησπέρα.  πως μπορώ να εκτύπωση τις κατηγορίες προϊόντων μου?,Μπορειτε να εκτυπωσετε μια κενή απογραφη,"[Customer]: καλησπέρα.  πως μπορώ να εκτύπωση τις κατηγορίες προϊόντων μου?
[CEO (Costo)]: Μπορειτε να εκτυπωσετε μια κενή απογραφη"
session_fea0454e-8b19-4056-9b87-e5fc7a4dee4f,2025-12-09 18:52:06,visitor104200,,Pending/Open,Yes,Κσλησπέρα. Πώς στέλνω μια συνταγή μου σε email?,Καλησπερα. Εκτυπωση συνταγης αποθηκευση ως pdf,"[Customer]: Κσλησπέρα. Πώς στέλνω μια συνταγή μου σε email?
[CEO (Costo)]: Καλησπερα. Εκτυπωση συνταγης αποθηκευση ως pdf"
session_48c7f24a-7fca-436d-b0fd-c575fccddc5d,2025-12-04 16:22:47,visitor103925,,Pending/Open,Yes,σας ευχαριστώ,Καλή κοστολογηση,"[Customer]: καλησπέρα σας , προσπαθώ να συνδεθώ και δεν με αφήνει μπορείτε να με βοηθήσετε ;
[CEO (Costo)]: Εχετε ενεργοποιήσει το λογαριασμό σας με το mail ενεργοποίησης που σας εχει αποσταλλει;
[CEO (Costo)]: Δείτε επισεις και στα spam
[Customer]: ναι και πατάω ότι ξέχασα τον κωδικό , τον αλλάζω και δεν με αφήνει να μπω
[Customer]: μου γράφει ότι γράφω λάθος μέιλ ή κωδικό
[Customer]: ενώ είναι τα σωστά
[CEO (Costo)]: Πατήσατε το λινκ;
[Customer]: τώρα κατάλαβα , το βρήκα
[Customer]: σας ευχαριστώ
[CEO (Costo)]: Εμεις
[CEO (Costo)]: Καλή κοστολογηση"
