Type,Key,Count
HourOfDay,00:00,11
HourOfDay,01:00,9
HourOfDay,02:00,4
HourOfDay,03:00,1
HourOfDay,04:00,2
HourOfDay,05:00,0
HourOfDay,06:00,1
HourOfDay,07:00,1
HourOfDay,08:00,3
HourOfDay,09:00,10
HourOfDay,10:00,20
HourOfDay,11:00,24
HourOfDay,12:00,25
HourOfDay,13:00,32
HourOfDay,14:00,25
HourOfDay,15:00,29
HourOfDay,16:00,37
HourOfDay,17:00,27
HourOfDay,18:00,21
HourOfDay,19:00,17
HourOfDay,20:00,19
HourOfDay,21:00,19
HourOfDay,22:00,21
HourOfDay,23:00,12
DayOfWeek,Monday,65
DayOfWeek,Tuesday,60
DayOfWeek,Wednesday,60
DayOfWeek,Thursday,60
DayOfWeek,Friday,60
DayOfWeek,Saturday,32
DayOfWeek,Sunday,33
